ticket_id,customer_id,issue_type,resolution_time_minutes,csat_score
S5005372,C003138,Service Quality,181,1
S2278728,C016608,Service Quality,207,1
S2803209,C013955,Service Quality,203,1
S2885653,C002149,Billing,64,1
S4655622,C002861,Membership Cancellation,71,2
S5931234,C013051,App Issue,216,2
S2605298,C014976,App Issue,76,5
S1452257,C005278,Membership Cancellation,226,1
S9951306,C015929,Service Quality,171,4
S8662040,C017406,Membership Cancellation,143,2
S9625715,C002089,Billing,164,4
S3810425,C013485,Billing,142,4
S4045968,C006015,Billing,149,3
S8728960,C010474,Membership Cancellation,148,4
S1471354,C005452,Billing,205,3
S1768916,C017149,Membership Cancellation,99,3
S6219004,C010928,Service Quality,69,5
S7771028,C012525,Billing,139,3
S6207275,C018812,Membership Cancellation,53,4
S7196640,C018985,Service Quality,174,4
S2392525,C006228,App Issue,27,1
S6472855,C016264,Service Quality,167,2
S7345499,C015252,App Issue,240,4
S8031979,C013523,Billing,6,3
S5274070,C004602,Membership Cancellation,225,2
S6783191,C011409,Service Quality,129,3
S3562238,C013034,Service Quality,150,2
S1869499,C001313,App Issue,227,1
S1850780,C018402,Membership Cancellation,173,3
S3406620,C003890,App Issue,198,5
S2394051,C015364,Membership Cancellation,50,3
S6649820,C013896,Membership Cancellation,220,2
S3120273,C003135,Membership Cancellation,186,5
S6212884,C019201,Service Quality,10,5
S9123992,C003698,Billing,125,2
S1508626,C006255,Billing,6,3
S8502525,C018915,Membership Cancellation,209,3
S6912550,C007057,Membership Cancellation,47,4
S8892608,C002290,Service Quality,15,1
S4687746,C009000,Billing,36,5
S2204174,C008424,Service Quality,181,2
S6128053,C017562,Service Quality,42,2
S2309344,C012870,Billing,216,3
S1670646,C005396,Billing,43,5
S7838186,C010431,Service Quality,175,5
S5675098,C007698,App Issue,68,4
S5107617,C001860,Billing,43,1
S7690324,C015002,Service Quality,123,5
S9501956,C011215,Billing,50,1
S8363965,C000040,Membership Cancellation,231,3
S7675496,C015617,Service Quality,41,5
S3699820,C015234,App Issue,38,1
S8171180,C007525,Membership Cancellation,58,1
S6910204,C013424,Service Quality,143,5
S4666698,C002075,Service Quality,22,4
S8532845,C012129,Membership Cancellation,69,1
S3952115,C008342,Billing,19,2
S1838950,C016744,App Issue,131,3
S3940329,C004586,App Issue,139,4
S6868943,C014122,Membership Cancellation,20,1
S2133765,C001889,App Issue,172,2
S9475369,C007706,Membership Cancellation,127,2
S1338296,C010588,Service Quality,52,3
S8734119,C008100,Service Quality,195,4
S8704645,C001495,Service Quality,101,4
S4692958,C005807,Service Quality,44,1
S6826961,C000780,Membership Cancellation,101,3
S7915424,C008805,Membership Cancellation,137,2
S8781182,C012190,Billing,206,4
S7677980,C011891,Membership Cancellation,82,2
S2461115,C011533,App Issue,128,3
S4449357,C017683,Membership Cancellation,68,1
S8988511,C011137,Membership Cancellation,157,2
S9459308,C000721,Billing,183,3
S5067676,C007856,Billing,148,1
S8119688,C017555,Membership Cancellation,230,1
S5099555,C005338,App Issue,69,3
S3954854,C009348,Billing,82,2
S1053984,C003437,Membership Cancellation,193,4
S2995915,C018066,Service Quality,150,5
S4052087,C009638,App Issue,37,1
S5810501,C008403,Service Quality,56,3
S9971523,C014158,Membership Cancellation,173,3
S1790822,C000632,Service Quality,82,5
S3882110,C006715,Membership Cancellation,83,1
S1648058,C002535,App Issue,46,4
S5926811,C004859,Service Quality,128,3
S5827851,C015321,Billing,155,3
S3461319,C007893,Membership Cancellation,71,4
S9910009,C013203,Billing,71,5
S2310703,C011985,App Issue,122,2
S7711149,C017802,App Issue,189,1
S9119234,C008763,App Issue,50,5
S2471520,C004543,Membership Cancellation,116,4
S4199292,C004314,App Issue,93,3
S6928468,C001420,App Issue,167,5
S3519123,C010879,Service Quality,163,3
S8213630,C010425,App Issue,132,4
S6625596,C000398,Billing,205,3
S2365720,C011449,Service Quality,238,3
S9636871,C005980,Membership Cancellation,132,5
S5731962,C004125,Billing,5,2
S3431072,C002613,Membership Cancellation,140,5
S3222745,C008054,Service Quality,155,3
S5055527,C008612,Billing,83,5
S5983473,C016225,App Issue,101,3
S1162907,C007848,Membership Cancellation,94,4
S9343478,C000687,App Issue,32,5
S3665614,C016270,Membership Cancellation,134,4
S9253786,C018884,App Issue,174,2
S7758866,C019220,App Issue,51,5
S3861363,C011627,Billing,186,3
S9218954,C012915,Membership Cancellation,47,1
S3487919,C008786,Membership Cancellation,42,5
S2821618,C015254,App Issue,168,4
S8014648,C009171,App Issue,66,3
S7490653,C001125,Billing,39,1
S4927554,C009001,App Issue,30,1
S5078222,C012962,Membership Cancellation,54,4
S3855655,C012419,Billing,172,2
S9217807,C010413,Service Quality,160,3
S7725007,C010247,Membership Cancellation,216,1
S5748266,C004941,Membership Cancellation,217,3
S5376153,C015538,Service Quality,53,3
S5531976,C002483,Membership Cancellation,214,5
S5864807,C006573,Billing,64,3
S3809218,C019131,Membership Cancellation,66,5
S1068557,C006836,Billing,42,1
S2810779,C019565,App Issue,119,2
S7675769,C003114,Service Quality,56,1
S3683797,C003551,App Issue,233,3
S4946646,C011369,Membership Cancellation,147,1
S7826781,C005076,Service Quality,195,1
S6697147,C010518,Billing,66,2
S5071365,C004594,Service Quality,27,1
S6926377,C008258,Billing,91,4
S8525225,C009811,Service Quality,228,4
S9781948,C003583,Billing,212,5
S9764954,C016271,Billing,89,2
S7528400,C013169,App Issue,174,3
S2972413,C018409,Billing,138,4
S6677163,C013114,App Issue,228,1
S8282943,C017410,Service Quality,229,3
S6752360,C016332,Billing,55,2
S6325335,C013058,Membership Cancellation,47,4
S1041937,C008650,Billing,221,3
S3601979,C017061,App Issue,225,1
S6242086,C019140,App Issue,71,5
S5981200,C010164,App Issue,232,5
S5425237,C001075,Service Quality,75,4
S1536498,C016545,Billing,99,3
S8394748,C001660,App Issue,138,1
S9643258,C008851,App Issue,7,5
S1429843,C007718,Service Quality,123,3
S2896404,C018578,App Issue,29,3
S3949719,C002601,Service Quality,117,5
S8170948,C002982,App Issue,137,1
S4062223,C009699,Membership Cancellation,221,4
S2160665,C008915,Billing,131,1
S5318211,C018999,App Issue,190,4
S9627756,C002552,Billing,42,5
S5553476,C010923,App Issue,55,1
S6672021,C016759,Membership Cancellation,111,5
S1151119,C016265,App Issue,178,4
S6528706,C017049,Service Quality,194,2
S8662572,C009035,Billing,158,1
S5942596,C001658,App Issue,43,5
S4534400,C013157,Service Quality,70,4
S8298245,C014360,Billing,117,5
S4070723,C019815,Service Quality,115,1
S9729559,C011888,Membership Cancellation,237,2
S2555230,C004475,Billing,132,2
S8684649,C014586,App Issue,12,5
S6008063,C012662,Membership Cancellation,75,5
S6451347,C011029,Membership Cancellation,225,1
S2825540,C012066,App Issue,197,1
S2589031,C010806,Billing,145,5
S1042460,C009374,Membership Cancellation,77,1
S2226187,C002908,App Issue,160,4
S3222934,C016088,Service Quality,139,3
S4908887,C008390,Membership Cancellation,22,2
S2765620,C009110,Membership Cancellation,55,2
S5050394,C010997,Billing,34,1
S6404827,C001024,Billing,25,1
S2559710,C011576,Service Quality,189,1
S9517171,C002346,Membership Cancellation,236,3
S6151872,C013309,Billing,176,3
S6385060,C000917,Billing,207,3
S3966510,C007523,Membership Cancellation,14,2
S1050263,C012319,Service Quality,114,3
S5106956,C002317,App Issue,11,1
S8557301,C009410,Billing,11,4
S3706757,C008355,Billing,7,5
S9468164,C005977,Service Quality,28,1
S6141115,C009868,Service Quality,123,1
S5741950,C019499,Billing,12,2
S6633910,C005764,Service Quality,23,2
S4247238,C004616,Membership Cancellation,156,3
S4370880,C014240,Membership Cancellation,224,4
S7718925,C014553,Billing,22,5
S9406195,C009261,Billing,110,4
S5085842,C014284,App Issue,142,1
S7046149,C010501,App Issue,44,4
S2098207,C008812,Billing,158,5
S9447506,C000261,Membership Cancellation,190,4
S6782807,C008092,Service Quality,233,5
S2216897,C016656,Membership Cancellation,200,4
S7767423,C017937,Billing,41,3
S6075031,C003826,App Issue,91,4
S6025132,C001754,Service Quality,25,3
S1032388,C011900,Service Quality,60,2
S6685496,C008515,App Issue,229,5
S9973283,C000057,App Issue,100,4
S8200575,C014872,Service Quality,98,3
S8263619,C005036,Service Quality,13,4
S1545594,C015619,Billing,9,2
S1154185,C017803,App Issue,209,1
S6279206,C013719,Service Quality,40,5
S8170284,C016835,Billing,120,2
S3564928,C011521,Membership Cancellation,170,2
S5440596,C004269,Membership Cancellation,13,5
S8534681,C000005,Billing,117,3
S1234401,C017922,App Issue,238,3
S2568445,C000798,App Issue,32,3
S9247413,C014929,Service Quality,62,2
S4117475,C010352,Service Quality,12,4
S6034705,C007188,Service Quality,69,1
S2278411,C019374,Membership Cancellation,93,1
S9862624,C013201,App Issue,131,2
S4582453,C019937,App Issue,148,3
S3423916,C014989,Billing,55,5
S5471054,C002604,Membership Cancellation,71,2
S4890258,C009075,Service Quality,24,1
S7065335,C014828,Service Quality,237,5
S5368595,C015893,App Issue,175,2
S4191899,C009092,App Issue,110,4
S1864535,C010186,App Issue,164,1
S2468368,C005291,Membership Cancellation,186,4
S2206680,C014153,Membership Cancellation,86,1
S1247071,C015171,Billing,112,3
S6905858,C005447,Membership Cancellation,111,3
S3684897,C007300,Billing,187,2
S2466414,C001865,Membership Cancellation,212,3
S2941858,C006348,Billing,130,3
S1715660,C013864,Service Quality,193,3
S5582719,C017864,Billing,85,1
S7987916,C017435,Membership Cancellation,51,4
S7817592,C010110,Membership Cancellation,143,1
S9613635,C019480,Membership Cancellation,66,2
S4115190,C008266,Service Quality,70,3
S1138825,C011247,Billing,25,2
S3049329,C012606,Billing,117,5
S9566838,C005548,Billing,135,5
S8363444,C016512,App Issue,44,3
S8362890,C014346,Service Quality,59,4
S9834050,C005550,Membership Cancellation,124,3
S2651097,C002800,Service Quality,174,4
S7510916,C018195,Billing,173,4
S7242462,C010468,Membership Cancellation,208,1
S8342825,C013151,Service Quality,188,3
S2890247,C013338,Billing,161,2
S7286588,C010406,App Issue,74,5
S5854049,C013823,Service Quality,235,3
S6891265,C008398,Billing,118,5
S6464536,C005883,Billing,129,4
S5132025,C017040,Membership Cancellation,238,5
S4417340,C016127,Membership Cancellation,104,2
S9007884,C007504,Membership Cancellation,104,5
S4773072,C001768,Billing,33,3
S2106145,C000610,App Issue,114,5
S3562831,C000746,Service Quality,125,5
S9890079,C003967,Membership Cancellation,122,4
S1933302,C009527,Membership Cancellation,31,2
S5031569,C012016,Membership Cancellation,122,1
S2691245,C005969,Billing,227,4
S8720544,C009402,App Issue,70,3
S2589459,C013490,Billing,147,3
S1850924,C005348,App Issue,194,5
S5133802,C005736,Service Quality,144,3
S9575600,C010125,Service Quality,160,3
S6846176,C017048,Membership Cancellation,153,4
S2744932,C019493,Billing,140,4
S1515298,C000724,Membership Cancellation,91,1
S6173410,C001490,Membership Cancellation,196,5
S8665966,C008957,Service Quality,211,1
S5386827,C012123,Billing,127,2
S6463629,C012500,Service Quality,231,4
S9157133,C011830,Billing,16,5
S8840852,C004059,Service Quality,218,2
S2241167,C002304,App Issue,121,4
S3531716,C011251,Billing,104,1
S2148257,C016468,Service Quality,126,1
S5888120,C004433,App Issue,197,3
S5832341,C010201,Service Quality,100,2
S7519029,C010895,Service Quality,60,1
S7191529,C001838,App Issue,239,3
S3401664,C007304,Billing,182,5
S9075201,C019598,Membership Cancellation,195,3
S5193480,C004766,App Issue,222,1
S6193572,C016941,Service Quality,125,4
S3230924,C010142,Service Quality,123,5
S2412632,C013893,App Issue,98,2
S2405624,C019636,Billing,132,3
S6309924,C001973,Service Quality,217,1
S6510613,C006873,Service Quality,219,5
S8822928,C000528,Membership Cancellation,35,2
S4830772,C007555,Membership Cancellation,192,2
S9393747,C018029,Membership Cancellation,90,3
S5384477,C017286,App Issue,194,5
S7544582,C003436,App Issue,63,5
S6808141,C018551,Service Quality,112,4
S5693891,C005622,Service Quality,65,3
S4000734,C000857,Service Quality,80,3
S7130087,C018933,Billing,131,1
S6792506,C016778,Service Quality,78,5
S2677547,C012846,App Issue,40,5
S2961786,C014279,App Issue,62,2
S4652380,C009974,App Issue,222,5
S1971508,C019336,Service Quality,216,2
S6684533,C012936,App Issue,81,2
S5573036,C004812,Service Quality,153,1
S6848011,C004732,Service Quality,210,5
S3326330,C012629,App Issue,99,5
S7031405,C016004,App Issue,172,1
S8581763,C000880,Billing,215,3
S8246878,C001318,Billing,218,3
S2415148,C017225,Service Quality,83,1
S5344261,C008485,Membership Cancellation,83,3
S5927366,C008421,App Issue,231,4
S3755158,C000355,Service Quality,208,2
S6328848,C002712,App Issue,212,4
S4809798,C007870,Billing,65,5
S4243064,C019753,Billing,124,5
S5802771,C004538,Service Quality,167,1
S7818142,C000796,Service Quality,226,5
S4469351,C019509,App Issue,135,1
S6077588,C015120,Service Quality,93,1
S7563773,C014533,Billing,139,5
S6586971,C006166,Membership Cancellation,201,2
S3161153,C000097,Service Quality,137,3
S9390425,C013579,Membership Cancellation,155,1
S4332700,C004253,App Issue,71,2
S9546139,C009398,Membership Cancellation,202,4
S5838468,C008025,Membership Cancellation,100,3
S5014483,C013972,Service Quality,97,5
S5315299,C014348,App Issue,208,2
S3529802,C015768,Billing,36,5
S7786835,C014503,Billing,135,3
S7825538,C017708,Billing,138,5
S5204869,C015555,App Issue,45,1
S8571167,C011654,Service Quality,165,3
S1638080,C007194,App Issue,117,3
S8514681,C019950,App Issue,59,1
S2565010,C016491,Billing,28,2
S5298173,C010456,Membership Cancellation,178,3
S3949177,C019654,Billing,222,2
S2293550,C008601,Billing,62,2
S6277372,C014852,Service Quality,145,4
S4315207,C015725,Membership Cancellation,173,2
S9600487,C017856,Membership Cancellation,78,5
S3239939,C002058,Service Quality,56,1
S3770382,C012933,Billing,184,4
S6403654,C019100,Service Quality,188,2
S1535461,C003692,App Issue,174,5
S1400641,C018316,Service Quality,159,2
S9682566,C009508,Service Quality,198,2
S6884277,C008200,Membership Cancellation,179,1
S4486990,C016560,Membership Cancellation,24,4
S8416444,C010542,Service Quality,171,1
S4111090,C012342,Billing,142,2
S2354958,C002606,Billing,115,3
S3604652,C009692,Billing,102,2
S6487606,C011683,Membership Cancellation,97,5
S7627418,C019646,Membership Cancellation,200,5
S1985987,C012480,Billing,142,1
S1156287,C009604,Service Quality,13,3
S8930678,C004731,Billing,188,1
S7884067,C011006,Service Quality,117,5
S9653907,C011767,App Issue,123,5
S2198455,C014713,Service Quality,149,2
S1351660,C013927,Billing,49,1
S3199828,C011669,Membership Cancellation,18,1
S6873673,C012971,Membership Cancellation,189,2
S6369822,C015518,App Issue,170,1
S5991086,C007140,Service Quality,226,2
S9175418,C014737,Service Quality,177,1
S1360351,C015344,Billing,213,3
S1254116,C006508,Service Quality,218,4
S1950201,C016420,App Issue,202,3
S4066874,C003256,Billing,70,5
S6000459,C005726,Membership Cancellation,31,3
S5211796,C016459,Membership Cancellation,103,5
S9841550,C013639,Billing,119,5
S6802194,C017702,Billing,226,1
S4278825,C014866,Billing,189,1
S7096875,C009563,Service Quality,132,2
S7625424,C006751,App Issue,140,3
S3993092,C013936,Membership Cancellation,133,5
S5400466,C013154,Service Quality,7,1
S7400156,C018492,App Issue,227,1
S6771282,C000634,Membership Cancellation,166,4
S4458192,C015485,App Issue,48,1
S8996940,C008270,Billing,15,3
S1175565,C008075,Billing,150,5
S4993585,C005710,App Issue,175,3
S1549479,C000182,Billing,107,5
S5113779,C019831,Service Quality,193,1
S6019032,C011110,Membership Cancellation,100,1
S4222233,C012697,Membership Cancellation,169,1
S9637924,C002453,App Issue,133,1
S8435547,C007384,Service Quality,68,5
S3166245,C010886,App Issue,101,2
S1909896,C015322,Membership Cancellation,115,5
S2285916,C002990,Membership Cancellation,228,1
S8309346,C003860,Billing,176,3
S5650031,C011633,App Issue,64,4
S8602346,C010117,Billing,125,2
S2338567,C006376,Membership Cancellation,197,5
S4919480,C010274,App Issue,174,4
S1478077,C006867,Membership Cancellation,7,4
S1241641,C007420,Billing,27,3
S5238527,C006325,Service Quality,122,3
S3150636,C015781,Billing,19,5
S1008861,C010138,Service Quality,150,3
S9861822,C016105,App Issue,43,2
S5723156,C019138,Billing,48,4
S8566296,C016041,App Issue,237,3
S3460236,C000935,Membership Cancellation,104,2
S7439335,C004833,Service Quality,68,5
S6852247,C001642,Membership Cancellation,105,5
S5508635,C012362,Membership Cancellation,72,5
S9108388,C009317,Billing,85,5
S6782101,C013501,Service Quality,84,1
S2279452,C011778,Billing,83,5
S1922617,C000025,App Issue,125,2
S4543421,C007326,Service Quality,141,3
S9788135,C012228,Billing,166,4
S1193420,C007440,Billing,25,5
S3356977,C007567,Billing,111,5
S2209375,C004581,Billing,222,5
S1892342,C002557,Billing,131,1
S3210346,C006604,Billing,188,5
S8532316,C009888,Service Quality,59,5
S7019728,C004843,Membership Cancellation,109,4
S6564023,C019151,Service Quality,97,2
S1541123,C002461,App Issue,43,3
S2130531,C002620,App Issue,29,5
S3906755,C002763,App Issue,178,4
S8294113,C018443,Billing,164,3
S7213545,C016045,App Issue,133,4
S6932569,C008798,Membership Cancellation,203,3
S4884308,C006506,Service Quality,220,5
S7152333,C002073,Billing,19,5
S1865831,C014963,Membership Cancellation,209,1
S6666375,C017610,Service Quality,35,2
S7168478,C008841,Billing,157,2
S3244606,C002087,App Issue,10,3
S9947913,C006201,Membership Cancellation,72,5
S3601160,C010385,Service Quality,114,4
S9776741,C012079,Billing,151,3
S6100046,C010982,Billing,115,1
S9038681,C012699,Service Quality,83,5
S1659853,C006408,Service Quality,105,4
S9719005,C002342,Billing,106,1
S7472398,C005428,Membership Cancellation,32,3
S9314752,C004120,Service Quality,233,1
S3213073,C019994,Membership Cancellation,139,2
S4593129,C001113,Billing,151,4
S8647644,C005208,Billing,187,1
S4948572,C016497,Membership Cancellation,64,1
S4949398,C006445,Billing,194,4
S2754984,C013321,App Issue,130,1
S1908225,C013683,App Issue,55,2
S5243133,C017001,Billing,81,1
S2088463,C016286,Service Quality,147,5
S5928536,C008338,Billing,239,4
S3985831,C014474,Membership Cancellation,104,4
S1669957,C010855,Service Quality,46,3
S2830780,C015898,Membership Cancellation,165,1
S4213789,C005802,App Issue,95,3
S1794159,C008426,Service Quality,215,3
S7145924,C002325,App Issue,218,4
S2303823,C014698,Billing,63,3
S8701456,C018279,Service Quality,32,4
S8780272,C002258,Billing,79,1
S5033977,C003445,Service Quality,196,2
S6447062,C004181,Billing,158,4
S8217913,C011642,Service Quality,94,4
S6802239,C008180,Service Quality,228,4
S6334992,C006898,Membership Cancellation,52,2
S9648068,C019846,App Issue,160,5
S6228205,C013280,Service Quality,102,2
S1703143,C014301,App Issue,212,2
S6252838,C009767,Billing,233,5
S7801546,C006435,Billing,204,4
S7565197,C000344,App Issue,173,2
S1633406,C011468,Membership Cancellation,103,1
S4075921,C017073,App Issue,222,1
S7539971,C012527,Membership Cancellation,57,2
S1353488,C010522,Billing,159,1
S4896601,C000184,Membership Cancellation,38,4
S3061689,C005491,App Issue,44,2
S5239190,C006400,Service Quality,197,4
S8344124,C005895,Membership Cancellation,107,2
S3249806,C005720,Service Quality,25,3
S4615250,C005731,Billing,191,5
S7219562,C004708,Billing,20,1
S4662960,C012039,App Issue,78,3
S6779611,C014160,Membership Cancellation,192,5
S5813637,C007944,App Issue,133,3
S7421261,C009113,Membership Cancellation,131,1
S8431186,C002546,App Issue,7,2
S7320083,C013855,Billing,35,5
S2717919,C014573,Membership Cancellation,86,3
S9697681,C018134,Billing,162,5
S1341599,C013643,Membership Cancellation,34,3
S2257725,C011773,App Issue,37,5
S2541814,C004348,App Issue,93,1
S2263005,C002848,Billing,138,2
S6061946,C019323,App Issue,172,4
S7451279,C015379,App Issue,153,2
S3617051,C006083,Membership Cancellation,97,4
S9389167,C011599,Billing,76,4
S7030295,C010290,Service Quality,111,4
S7276247,C003983,Membership Cancellation,146,4
S6980740,C005846,Membership Cancellation,235,1
S1990422,C002603,Billing,163,3
S5760074,C000156,App Issue,29,2
S7324642,C016806,Service Quality,58,2
S6218627,C004446,Billing,44,1
S5411260,C009966,Service Quality,32,5
S6412849,C014827,Billing,219,5
S7537714,C013968,Billing,28,3
S9197100,C009467,Billing,126,5
S3013771,C004686,App Issue,215,1
S4450974,C005743,Billing,87,4
S5079877,C001986,Billing,102,2
S4180501,C018825,Billing,200,3
S9626931,C007608,App Issue,7,1
S4900269,C017580,App Issue,136,4
S6265422,C018656,Membership Cancellation,95,2
S2289345,C012284,App Issue,84,1
S9920041,C004332,Membership Cancellation,66,5
S3965989,C008668,Billing,167,3
S4460953,C019737,Service Quality,96,2
S3485893,C002939,Service Quality,126,4
S1347498,C013982,Billing,200,1
S4990365,C004056,Membership Cancellation,46,2
S7515115,C019974,Billing,22,1
S9995320,C018879,Service Quality,29,3
S9756308,C016183,Membership Cancellation,15,5
S2091820,C016149,Billing,108,1
S9493875,C003230,Membership Cancellation,139,5
S6730932,C019102,Service Quality,60,3
S6915482,C004680,Membership Cancellation,13,3
S7127866,C018107,App Issue,80,2
S4902332,C012769,App Issue,79,3
S5859636,C016251,Service Quality,76,4
S6016788,C017304,App Issue,186,4
S5799039,C010446,Billing,150,4
S5834356,C012892,Billing,143,5
S2863918,C009465,App Issue,16,1
S1193079,C011559,Service Quality,58,2
S6006304,C018454,Service Quality,80,4
S5772229,C012777,App Issue,106,3
S2699166,C003681,App Issue,183,1
S5059366,C019461,Service Quality,147,1
S4819878,C009642,Billing,131,2
S8653937,C002347,Service Quality,15,1
S7531263,C004831,Service Quality,177,5
S8223556,C010190,Service Quality,24,2
S4258141,C003980,Billing,238,2
S5737426,C003987,Service Quality,38,3
S7522609,C019014,Billing,139,2
S1030007,C005559,Service Quality,126,3
S8661281,C008886,Service Quality,131,4
S1127925,C013303,App Issue,147,1
S8157787,C011629,App Issue,93,5
S3925753,C009865,Membership Cancellation,232,2
S8921310,C010222,App Issue,59,1
S5150538,C009661,Service Quality,126,5
S5413630,C019066,Billing,109,5
S8238109,C005988,Service Quality,27,2
S7474802,C011525,Service Quality,19,1
S5216786,C001032,Membership Cancellation,148,5
S9636838,C006597,Billing,204,5
S8359701,C014751,Membership Cancellation,125,4
S9501960,C000417,Billing,83,1
S1212040,C010299,Service Quality,173,1
S5727813,C003998,Service Quality,233,2
S5619196,C002085,Membership Cancellation,175,3
S1969382,C004054,App Issue,218,2
S4746634,C016945,Service Quality,211,3
S2270165,C004700,App Issue,133,1
S6883804,C000703,Billing,139,3
S5679274,C016128,App Issue,73,2
S7827165,C007219,App Issue,185,3
S9979538,C017206,Service Quality,227,5
S6525687,C006216,Membership Cancellation,58,3
S8480669,C000573,Service Quality,214,5
S6258503,C008121,Membership Cancellation,112,1
S7872192,C010115,App Issue,233,3
S5055799,C017782,Service Quality,159,5
S5465723,C004572,Service Quality,68,1
S3417374,C007503,Service Quality,79,4
S5069418,C018516,Billing,36,5
S2567586,C019887,Service Quality,34,1
S5216064,C014462,Membership Cancellation,71,5
S8675519,C000201,Billing,220,2
S2822336,C007817,App Issue,129,4
S1888911,C005785,Service Quality,147,2
S3704216,C000243,Membership Cancellation,78,2
S4548810,C016549,Membership Cancellation,35,5
S7978299,C019362,Membership Cancellation,109,5
S5154380,C019200,Service Quality,138,1
S7121478,C017935,Membership Cancellation,9,2
S6768076,C010480,Membership Cancellation,172,3
S1998786,C018673,Billing,13,5
S8193396,C017577,Membership Cancellation,77,3
S3753838,C001806,Billing,108,4
S3813419,C007467,App Issue,27,1
S1686775,C002902,Service Quality,116,4
S7650638,C014023,Service Quality,200,3
S8549288,C001935,App Issue,125,5
S9169649,C012660,Billing,226,3
S6585794,C002962,App Issue,151,5
S2381442,C017741,App Issue,168,2
S3309919,C001991,Membership Cancellation,238,2
S9300068,C011288,Membership Cancellation,229,2
S1603327,C018599,App Issue,191,1
S5774039,C002458,Billing,88,5
S2456412,C006607,App Issue,89,3
S5741378,C011979,App Issue,196,1
S6515932,C006970,App Issue,133,5
S9074864,C015222,App Issue,210,2
S3865510,C003704,Service Quality,7,4
S4517334,C018118,Service Quality,144,1
S6103306,C007643,Membership Cancellation,167,3
S7494288,C004392,App Issue,236,4
S9527123,C006220,Billing,47,3
S3560103,C004141,Service Quality,126,5
S2467972,C005075,Billing,108,2
S6327104,C014033,App Issue,79,1
S4225085,C019115,Membership Cancellation,166,5
S2164419,C002352,Membership Cancellation,229,1
S7436539,C008434,Service Quality,35,3
S6488366,C011667,Billing,179,5
S7605571,C016921,Billing,161,5
S2366787,C008077,Service Quality,172,3
S6676011,C007131,Service Quality,61,1
S9919175,C011109,Service Quality,176,4
S6851084,C013592,App Issue,149,3
S6838418,C017528,App Issue,206,5
S9658937,C014773,Service Quality,65,2
S1889640,C013879,Service Quality,27,4
S5693071,C015117,Service Quality,132,4
S1383562,C015730,Service Quality,94,1
S1374042,C017690,Service Quality,76,4
S7976507,C006324,Membership Cancellation,58,2
S7878623,C014179,Membership Cancellation,117,3
S8212329,C000556,App Issue,140,2
S9297321,C007148,Service Quality,94,4
S2821015,C004655,App Issue,176,4
S6280260,C019355,Billing,16,1
S3977810,C015925,Billing,140,1
S5378693,C003210,Membership Cancellation,93,3
S9087010,C019381,App Issue,67,4
S8725155,C004778,App Issue,104,2
S5705347,C009599,Membership Cancellation,23,5
S5061526,C018439,App Issue,91,2
S9864760,C013071,Billing,96,5
S2788559,C007882,App Issue,202,1
S2584489,C004223,Membership Cancellation,201,1
S2423555,C007100,Membership Cancellation,213,3
S8421191,C012521,App Issue,169,4
S3299268,C011802,Membership Cancellation,218,5
S6363847,C002022,Billing,90,1
S4328864,C015837,Membership Cancellation,17,1
S3800934,C009219,Service Quality,206,3
S2361495,C007677,Service Quality,78,5
S8082176,C003886,App Issue,66,3
S4346245,C009864,Membership Cancellation,152,1
S7715235,C007933,App Issue,57,4
S3092071,C000716,App Issue,85,2
S1829927,C002667,Service Quality,203,5
S2005244,C014797,Billing,152,5
S4269646,C010342,Billing,200,5
S8327671,C011351,Billing,216,1
S5381808,C001129,App Issue,196,5
S9516019,C006752,Service Quality,229,2
S8439931,C015335,Billing,66,2
S1638129,C018006,App Issue,237,1
S9767978,C011208,Service Quality,157,3
S6475750,C015692,Billing,54,4
S3007614,C008371,App Issue,143,4
S6671602,C011895,Membership Cancellation,226,2
S2211420,C019958,Service Quality,12,4
S3974435,C006605,App Issue,38,4
S7019969,C005597,Billing,92,3
S2264399,C017527,Billing,113,2
S8828677,C001021,App Issue,6,5
S9878143,C013912,Membership Cancellation,153,3
S7536650,C001415,Billing,224,5
S9361446,C016052,Service Quality,201,1
S3493799,C009801,Billing,210,4
S6517397,C004461,App Issue,152,4
S9396586,C019274,Membership Cancellation,159,4
S7169871,C011806,App Issue,41,3
S4905646,C012941,Membership Cancellation,228,5
S9372765,C013259,App Issue,44,2
S1434647,C016647,App Issue,162,5
S7392047,C005361,Billing,131,4
S5795741,C005109,Billing,162,5
S6083901,C009468,Service Quality,221,5
S2275620,C013246,App Issue,26,4
S4999383,C016298,Service Quality,76,2
S9891551,C005830,App Issue,61,5
S6461004,C017292,Billing,38,5
S6907628,C005098,Service Quality,128,5
S7392408,C005912,Billing,178,2
S9025492,C000815,Billing,12,5
S4898475,C001667,App Issue,171,2
S3583380,C015971,Service Quality,213,5
S9851201,C004026,Service Quality,99,3
S3820580,C009553,Membership Cancellation,109,2
S8285426,C016199,App Issue,69,2
S1260684,C005585,Membership Cancellation,54,3
S9033949,C006726,Membership Cancellation,213,4
S6853747,C009120,Billing,100,4
S4998517,C011255,Membership Cancellation,6,3
S8539405,C007154,App Issue,36,2
S1935247,C016254,Membership Cancellation,210,1
S3710257,C007205,Service Quality,123,2
S2370147,C006034,Billing,113,3
S2913324,C007482,Billing,190,1
S4491552,C005817,App Issue,6,4
S7198577,C013191,Billing,209,5
S9430085,C004064,Billing,84,5
